# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
0049B7B0 [crt-out-of-scope] _CallCatchBlock2
0049B820 [crt-out-of-scope] CatchGuardHandler
0049B860 [crt-out-of-scope] _CallSETranslator
0049B940 [crt-out-of-scope] TranslatorGuardHandler
0049BA80 [crt-out-of-scope] __global_unwind2
0049BAC2 [crt-out-of-scope] __local_unwind2
0049BB2A [crt-out-of-scope] __abnormal_termination
0049BB4D [crt-out-of-scope] FUN_0049bb4d
0049BB56 [crt-out-of-scope] FUN_0049bb56
0049BBF0 [crt-out-of-scope] _rand
0049BC40 [crt-out-of-scope] _isalpha
0049BC90 [crt-out-of-scope] _sprintf
0049BD80 [crt-out-of-scope] _strrchr
0049BDB0 [crt-out-of-scope] _vsprintf
0049BEA0 [crt-out-of-scope] _fclose
0049BF90 [crt-out-of-scope] _fread
0049C160 [crt-out-of-scope] _fseek
0049C290 [crt-out-of-scope] _ftell
0049C540 [crt-out-of-scope] __fsopen
0049C650 [crt-out-of-scope] _fopen
0049C680 [crt-out-of-scope] FID_conflict:__fwrite_lk
0049C8A0 [crt-out-of-scope] `eh_vector_destructor_iterator'
0049C950 [crt-out-of-scope] __ArrayUnwind
0049C9E0 [crt-out-of-scope] FID_conflict:ArrayUnwindFilter
0049CA30 [crt-out-of-scope] `eh_vector_constructor_iterator'
0049CB70 [crt-out-of-scope] __strlwr
0049CCB0 [crt-out-of-scope] strchr
0049CD70 [crt-out-of-scope] _asctime
0049CED0 [crt-out-of-scope] store_dt
0049CF10 [crt-out-of-scope] _localtime
0049D170 [crt-out-of-scope] _time
0049D300 [crt-out-of-scope] __cinit
0049D350 [crt-out-of-scope] _exit
0049D370 [crt-out-of-scope] __exit
0049D390 [crt-out-of-scope] doexit
0049D490 [crt-out-of-scope] __initterm
0049D4D0 [crt-out-of-scope] __purecall
0049D4F0 [crt-out-of-scope] __onexit
0049D5B0 [crt-out-of-scope] _atexit
0049D5E0 [crt-out-of-scope] ___onexitinit
0049D667 [crt-out-of-scope] __cintrindisp1
0049D66C [crt-out-of-scope] FUN_0049d66c
0049D690 [crt-out-of-scope] ___inittime
0049D900 [crt-out-of-scope] __amsg_exit
0049D940 [crt-out-of-scope] __setdefaultprecision
0049D960 [crt-out-of-scope] __ms_p5_test_fdiv
0049D9C0 [crt-out-of-scope] __ms_p5_mp_test_fdiv
0049DA20 [crt-out-of-scope] __forcdecpt
0049DAE0 [crt-out-of-scope] __cropzeros
0049DBC0 [crt-out-of-scope] __positive
0049DC00 [crt-out-of-scope] __fassign
0049DC60 [crt-out-of-scope] __cftoe
0049DE30 [crt-out-of-scope] __cftof
0049DFC0 [crt-out-of-scope] __cftog
0049E0E0 [crt-out-of-scope] __cftoe_g
0049E120 [crt-out-of-scope] __cftof_g
0049E160 [crt-out-of-scope] __cfltcvt
0049E1E0 [crt-out-of-scope] __shift
0049E220 [crt-out-of-scope] ___InternalCxxFrameHandler
0049E340 [crt-out-of-scope] FindHandler
0049E5F0 [crt-out-of-scope] FindHandlerForForeignException
0049E710 [crt-out-of-scope] GetRangeOfTrysToCheck
0049E800 [crt-out-of-scope] TypeMatch
0049E8D0 [crt-out-of-scope] ___FrameUnwindToState
0049E9E0 [crt-out-of-scope] FID_conflict:ArrayUnwindFilter
0049EA30 [crt-out-of-scope] CatchIt
0049EB10 [crt-out-of-scope] CallCatchBlock
0049EC70 [crt-out-of-scope] ExFilterRethrow
0049ECE0 [crt-out-of-scope] BuildCatchObject
0049EFC0 [crt-out-of-scope] DestructExceptionObject
0049F060 [crt-out-of-scope] AdjustPointer
0049F0B0 [crt-out-of-scope] __CallSettingFrame@12
0049F1A0 [crt-out-of-scope] _inconsistency
0049F240 [crt-out-of-scope] __malloc_dbg
0049F270 [crt-out-of-scope] __nh_malloc
0049F2A0 [crt-out-of-scope] __nh_malloc_dbg
0049F310 [crt-out-of-scope] __heap_alloc_dbg
0049F650 [crt-out-of-scope] __calloc_dbg
0049F6C0 [crt-out-of-scope] __realloc_dbg
0049F700 [crt-out-of-scope] realloc_help
0049FC90 [crt-out-of-scope] __free_dbg
004A00C0 [crt-out-of-scope] __msize_dbg
004A0230 [crt-out-of-scope] _CheckBytes
004A02C0 [crt-out-of-scope] __CrtCheckMemory
004A0640 [crt-out-of-scope] __CrtSetDbgFlag
004A0670 [crt-out-of-scope] __CrtIsValidPointer
004A06D0 [crt-out-of-scope] __CrtIsValidHeapPointer
004A07A0 [crt-out-of-scope] __CrtMemCheckpoint
004A08E0 [crt-out-of-scope] __CrtMemDumpAllObjectsSince
004A0BA0 [crt-out-of-scope] __printMemBlockData
004A0CA0 [crt-out-of-scope] __CrtDumpMemoryLeaks
004A0D30 [crt-out-of-scope] __CrtDbgBreak
004A0D50 [crt-out-of-scope] __CrtDbgReport
004A1140 [crt-out-of-scope] _CrtMessageWindow
004A1470 [crt-out-of-scope] __isctype
004A1530 [crt-out-of-scope] __flsbuf
004A17D0 [crt-out-of-scope] __output
004A2560 [crt-out-of-scope] write_char
004A25E0 [crt-out-of-scope] write_multi_char
004A2630 [crt-out-of-scope] write_string
004A2690 [crt-out-of-scope] get_int_arg
004A26B0 [crt-out-of-scope] get_int64_arg
004A26E0 [crt-out-of-scope] get_short_arg
004A2700 [crt-out-of-scope] __close
004A2810 [crt-out-of-scope] __freebuf
004A28A0 [crt-out-of-scope] _fflush
004A2920 [crt-out-of-scope] __flush
004A29E0 [crt-out-of-scope] __flushall
004A2A00 [crt-out-of-scope] flsall
004A2B00 [crt-out-of-scope] __filbuf
004A2CE0 [crt-out-of-scope] __read
004A3180 [crt-out-of-scope] FID_conflict:_memcpy
004A32D0 [crt-out-of-scope] __lseek
004A33F0 [crt-out-of-scope] __ioinit
004A3720 [crt-out-of-scope] __openfile
004A3AE0 [crt-out-of-scope] __getstream
004A3C00 [crt-out-of-scope] __write
004A3F00 [crt-out-of-scope] FUN_004a3f00
004A3FBD [crt-out-of-scope] FUN_004a3fbd
004A3FE0 [crt-out-of-scope] FUN_004a3fe0
004A3FF0 [crt-out-of-scope] FUN_004a3ff0
004A40D0 [crt-out-of-scope] ___crtLCMapStringA
004A43F0 [crt-out-of-scope] _strncnt
004A4460 [crt-out-of-scope] ___tzset
004A4490 [crt-out-of-scope] __tzset
004A47F0 [crt-out-of-scope] __isindst
004A4B60 [crt-out-of-scope] cvtdate
004A4D70 [crt-out-of-scope] _gmtime
004A4F60 [crt-out-of-scope] ___loctotime_t
004A50EC [crt-out-of-scope] FUN_004a50ec
004A5130 [crt-out-of-scope] __cintrindisp2
004A516E [crt-out-of-scope] __cintrindisp1
004A51A4 [crt-out-of-scope] __ctrandisp2
004A51DE [crt-out-of-scope] FUN_004a51de
004A51E5 [crt-out-of-scope] FUN_004a51e5
004A5315 [crt-out-of-scope] __ctrandisp1
004A5341 [crt-out-of-scope] __fload
004A5380 [crt-out-of-scope] __ftime
004A5420 [crt-out-of-scope] __XcptFilter
004A5620 [crt-out-of-scope] xcptlookup
004A5690 [crt-out-of-scope] __ismbblead
004A56B0 [crt-out-of-scope] x_ismbbtype
004A5720 [crt-out-of-scope] __setenvp
004A5860 [crt-out-of-scope] __setargv
004A5930 [crt-out-of-scope] parse_cmdline
004A5CF0 [crt-out-of-scope] ___crtGetEnvironmentStringsA
004A5F50 [crt-out-of-scope] __setmbcp
004A6280 [crt-out-of-scope] getSystemCP
004A6310 [crt-out-of-scope] _CPtoLCID
004A63B0 [crt-out-of-scope] setSBCS
004A6430 [crt-out-of-scope] ___initmbctable
004A6450 [crt-out-of-scope] __heap_init
004A64B0 [crt-out-of-scope] __FF_MSGBANNER
